Query,Database,Relative Error (%),Speed Overhead (%)
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,50mb_sample.db,0.23,0.13
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,100mb_sample.db,0.23,0.23
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,150mb_sample.db,0.07,0.33
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,200mb_sample.db,0.08,0.49
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,250mb_sample.db,0.04,1.07
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,500mb_sample.db,0.18,3.09
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,750mb_sample.db,0.23,4.85
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,1000mb_sample.db,0.09,6.78
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,50mb_sample.db,0.11,0.14
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,100mb_sample.db,0.32,0.33
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,150mb_sample.db,0.71,0.35
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,200mb_sample.db,0.78,0.60
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,250mb_sample.db,0.71,1.15
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,500mb_sample.db,0.22,3.20
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,750mb_sample.db,0.19,4.73
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,1000mb_sample.db,0.24,6.33
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,50mb_sample.db,16.13,0.12
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,100mb_sample.db,16.85,0.22
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,150mb_sample.db,7.49,0.33
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,200mb_sample.db,5.29,0.46
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,250mb_sample.db,7.12,1.05
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,500mb_sample.db,11.38,2.87
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,750mb_sample.db,3.20,6.18
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,1000mb_sample.db,3.77,8.33
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,50mb_sample.db,16.13,0.17
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,100mb_sample.db,16.85,0.26
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,150mb_sample.db,7.49,0.40
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,200mb_sample.db,5.29,0.55
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,250mb_sample.db,7.12,1.58
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,500mb_sample.db,11.38,3.95
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,750mb_sample.db,3.20,5.85
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,1000mb_sample.db,3.77,7.65
