Query,Database,Raw Sample Result,Scaled Result,Execution Time (s),Gold Execution Time (s),Relative Error (%),Speed Overhead (%)
SELECT COUNT(*) FROM customers WHERE address LIKE '%Street%';,150mb_sample.db,5411,184698.8485,0.3995,15.2515,0.32,0.4
SELECT COUNT(*) FROM customers WHERE address LIKE '%Street%';,200mb_sample.db,7143,182864.1483,0.5202,15.2515,0.68,0.52
SELECT COUNT(*) FROM customers WHERE address LIKE '%Street%';,250mb_sample.db,8929,182869.2684,1.1184,15.2515,0.68,1.12
SELECT COUNT(*) FROM customers WHERE address LIKE '%Street%';,500mb_sample.db,17978,184098.0909,3.0406,15.2515,0.01,3.04
SELECT COUNT(*) FROM customers WHERE address LIKE '%Street%';,750mb_sample.db,26943,183934.2479,4.5412,15.2515,0.1,4.54
SELECT COUNT(*) FROM customers WHERE address LIKE '%Street%';,1000mb_sample.db,35974,184190.2526,6.252,15.2515,0.04,6.25
SELECT COUNT(*) FROM customers WHERE company LIKE 'Tech%';,50mb_sample.db,0,0,0.1207,13.5449,,0.12
SELECT COUNT(*) FROM customers WHERE company LIKE 'Tech%';,100mb_sample.db,0,0,0.2293,13.5449,,0.23
SELECT COUNT(*) FROM customers WHERE company LIKE 'Tech%';,150mb_sample.db,0,0,0.3316,13.5449,,0.33
SELECT COUNT(*) FROM customers WHERE company LIKE 'Tech%';,200mb_sample.db,0,0,0.4668,13.5449,,0.47
SELECT COUNT(*) FROM customers WHERE company LIKE 'Tech%';,250mb_sample.db,0,0,1.0332,13.5449,,1.03
SELECT COUNT(*) FROM customers WHERE company LIKE 'Tech%';,500mb_sample.db,0,0,2.8998,13.5449,,2.9
SELECT COUNT(*) FROM customers WHERE company LIKE 'Tech%';,750mb_sample.db,0,0,4.533,13.5449,,4.53
SELECT COUNT(*) FROM customers WHERE company LIKE 'Tech%';,1000mb_sample.db,0,0,6.3292,13.5449,,6.33
